timestamp,epoch_ts,run_id,run_type,source_file,test_label,operation,metric_key,max_mib_s,mean_mib_s,iops,nodes,tasks
20260827-121732,1787847452,ior_multi_node_20260827-121732.txt,ior,ior_multi_node_20260827-121732.txt,"File-per-process, transfer size 1m",write,scratch.ior.write.file_per_process_transfer_size_1m,2666.91,2666.91,,4,16
20260827-121732,1787847452,ior_multi_node_20260827-121732.txt,ior,ior_multi_node_20260827-121732.txt,"File-per-process, transfer size 1m",read,scratch.ior.read.file_per_process_transfer_size_1m,4727.23,4727.23,,4,16
20260827-121732,1787847452,ior_multi_node_20260827-121732.txt,ior,ior_multi_node_20260827-121732.txt,"Shared file, transfer size 1m",write,scratch.ior.write.shared_file_transfer_size_1m,2633.16,2633.16,,4,16
20260827-121732,1787847452,ior_multi_node_20260827-121732.txt,ior,ior_multi_node_20260827-121732.txt,"Shared file, transfer size 1m",read,scratch.ior.read.shared_file_transfer_size_1m,4306.17,4306.17,,4,16
20260827-121557,1787847357,ior_single_node_20260827-121557.txt,ior,ior_single_node_20260827-121557.txt,"Block size 1m, transfer size 1m",write,scratch.ior.write.block_size_1m_transfer_size_1m,1175.72,1175.72,,1,4
20260827-121557,1787847357,ior_single_node_20260827-121557.txt,ior,ior_single_node_20260827-121557.txt,"Block size 1m, transfer size 1m",read,scratch.ior.read.block_size_1m_transfer_size_1m,1167.28,1167.28,,1,4
20260827-121557,1787847357,ior_single_node_20260827-121557.txt,ior,ior_single_node_20260827-121557.txt,"Block size 1m, transfer size 4m",write,scratch.ior.write.block_size_1m_transfer_size_4m,1171.95,1171.95,,1,4
20260827-121557,1787847357,ior_single_node_20260827-121557.txt,ior,ior_single_node_20260827-121557.txt,"Block size 1m, transfer size 4m",read,scratch.ior.read.block_size_1m_transfer_size_4m,1176.89,1176.89,,1,4
20260827-121834,1787847514,mdtest_20260827-121834.txt,mdtest,mdtest_20260827-121834.txt,mdtest,File creation,scratch.mdtest.file_creation,,,7000.398,1,4
20260827-121834,1787847514,mdtest_20260827-121834.txt,mdtest,mdtest_20260827-121834.txt,mdtest,File stat,scratch.mdtest.file_stat,,,153875.650,1,4
20260827-121834,1787847514,mdtest_20260827-121834.txt,mdtest,mdtest_20260827-121834.txt,mdtest,File read,scratch.mdtest.file_read,,,124328.168,1,4
20260827-121834,1787847514,mdtest_20260827-121834.txt,mdtest,mdtest_20260827-121834.txt,mdtest,File removal,scratch.mdtest.file_removal,,,14153.879,1,4
20260827-121834,1787847514,mdtest_20260827-121834.txt,mdtest,mdtest_20260827-121834.txt,mdtest,Tree creation,scratch.mdtest.tree_creation,,,686.803,1,4
20260827-121834,1787847514,mdtest_20260827-121834.txt,mdtest,mdtest_20260827-121834.txt,mdtest,Tree removal,scratch.mdtest.tree_removal,,,289.262,1,4
